"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","2-7-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女，年齢（5歳階級），国籍総数か日本人別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","","","","","/年齢 コード","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","R1","R2","R3","R4","R5","R6"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01341","（旧：椴法華村）","","745","12","10","25","14","16","14","14","23","26","41","48","58","63","87","93","75","65","38","19","4","-","-","47","317","381","201","61","390"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01342","（旧：南茅部町）","","4,538","109","129","164","125","111","121","155","198","222","252","259","345","374","487","445","348","339","229","102","21","-","3","402","2,162","1,971","1,039","352","2,524"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01203","小樽市","","111,299","2,382","3,086","3,701","4,463","4,070","3,360","3,646","4,532","6,076","7,642","7,276","7,197","7,381","9,813","11,527","8,713","6,895","5,070","2,575","749","84","1,061","9,169","55,643","45,426","24,086","8,478","60,993"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01204","旭川市","","329,306","10,111","11,803","12,777","13,672","11,677","12,804","14,343","17,434","20,999","23,894","21,170","20,625","21,442","25,811","28,568","21,432","16,885","11,962","5,833","1,651","269","4,144","34,691","178,060","112,411","58,032","19,715","190,199"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01205","室蘭市","","82,383","2,306","2,662","2,801","3,758","4,482","3,395","3,347","3,834","4,457","5,743","4,971","4,741","4,670","6,327","7,585","6,277","4,964","3,247","1,455","410","65","886","7,769","43,398","30,330","16,418","5,177","45,967"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01206","釧路市","","165,077","4,629","5,571","6,434","7,225","6,584","6,452","6,992","8,384","10,335","12,090","10,706","10,748","11,079","13,839","14,162","10,479","8,572","5,821","2,644","729","109","1,493","16,634","90,595","56,355","28,354","9,303","97,209"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0120C","（旧：釧路市）","","159,011","4,530","5,442","6,255","7,047","6,350","6,267","6,796","8,141","10,050","11,675","10,320","10,320","10,524","13,276","13,567","10,015","8,188","5,527","2,507","673","98","1,443","16,227","87,490","53,851","27,008","8,805","93,719"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01666","（旧：阿寒町）","","4,390","71","101","142","114","175","145","129","190","217","277","285","293","376","388","471","361","286","198","87","36","9","39","314","2,201","1,836","977","330","2,475"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01669","（旧：音別町）","","1,676","28","28","37","64","59","40","67","53","68","138","101","135","179","175","124","103","98","96","50","20","2","11","93","904","668","369","168","1,015"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01207","帯広市","","166,536","5,838","6,564","6,671","6,968","7,253","8,305","8,550","9,637","10,913","12,548","10,969","11,099","10,562","11,893","12,237","8,985","7,302","5,326","2,502","643","112","1,659","19,073","96,804","49,000","24,870","8,583","101,729"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01208","北見市","","115,480","3,486","4,128","4,400","4,653","4,601","4,431","4,933","5,975","7,457","8,479","7,321","7,734","7,633","9,087","9,723","7,010","5,977","4,289","2,100","567","88","1,408","12,014","63,217","38,841","20,031","7,044","67,651"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0120D","（旧：北見市）","","102,000","3,156","3,760","3,978","4,205","4,275","4,105","4,497","5,431","6,800","7,632","6,512","6,768","6,601","7,801","8,281","5,928","4,990","3,583","1,767","466","76","1,388","10,894","56,826","32,892","16,810","5,892","60,422"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01548","（旧：端野町）","","4,384","114","138","153","179","121","92","136","190","233","308","287","312","320","410","449","325","293","196","90","33","5","-","405","2,178","1,801","942","324","2,409"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01551","（旧：留辺蘂町）","","5,570","102","123","138","141","94","102","130","192","236","314","298","394","429","600","697","505","490","358","153","50","5","19","363","2,330","2,858","1,561","566","2,789"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01553","（旧：常呂町）","","3,526","114","107","131","128","111","132","170","162","188","225","224","260","283","276","296","252","204","152","90","18","2","1","352","1,883","1,290","718","262","2,031"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01209","夕張市","","7,334","116","134","161","157","138","160","207","248","332","436","430","476","509","765","801","720","725","509","236","59","13","2","411","3,093","3,828","2,262","817","3,701"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01210","岩見沢市","","79,306","2,098","2,726","3,035","3,440","3,035","2,842","3,112","3,662","4,547","5,672","4,883","5,375","5,823","6,599","7,168","5,227","4,471","3,359","1,569","416","71","176","7,859","42,391","28,880","15,113","5,415","45,550"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0121B","（旧：岩見沢市）","","72,184","1,979","2,550","2,788","3,192","2,861","2,709","2,910","3,385","4,193","5,261","4,460","4,847","5,259","5,934","6,439","4,695","3,923","2,931","1,308","325","60","175","7,317","39,077","25,615","13,242","4,624","41,819"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01421","（旧：北村）","","2,320","49","68","78","79","61","58","83","115","102","137","115","177","190","210","226","163","174","119","84","27","5","-","195","1,117","1,008","572","235","1,248"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01422","（旧：栗沢町）","","4,802","70","108","169","169","113","75","119","162","252","274","308","351","374","455","503","369","374","309","177","64","6","1","347","2,197","2,257","1,299","556","2,483"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01211","網走市","","35,759","1,087","1,295","1,349","1,670","1,965","1,510","1,514","1,897","2,254","2,644","2,264","2,334","2,353","2,738","2,926","2,012","1,608","1,171","607","170","27","364","3,731","20,405","11,259","5,595","1,975","21,473"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01212","留萌市","","20,114","493","575","643","596","665","694","753","960","1,130","1,324","1,283","1,286","1,290","1,666","1,815","1,470","1,207","777","351","121","18","997","1,711","9,981","7,425","3,944","1,267","11,051"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01213","苫小牧市","","170,113","5,993","7,035","7,398","7,738","6,330","7,549","8,574","9,956","11,806","13,249","10,704","10,410","10,531","13,145","13,242","9,025","7,066","4,565","2,288","609","82","2,818","20,426","96,847","50,022","23,635","7,544","102,254"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01214","稚内市","","33,563","1,007","1,202","1,275","1,311","1,205","1,386","1,482","1,829","2,144","2,577","2,339","2,386","2,261","2,722","2,845","2,055","1,720","1,094","469","104","16","134","3,484","18,920","11,025","5,458","1,683","20,331"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01215","美唄市","","20,413","420","480","639","915","597","604","628","813","1,099","1,338","1,306","1,386","1,483","1,829","2,074","1,648","1,376","1,066","499","129","21","63","1,539","10,169","8,642","4,739","1,715","11,083"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01216","芦別市","","12,555","231","277","337","347","302","357","377","431","590","765","751","851","934","1,205","1,378","1,206","1,057","723","314","98","14","10","845","5,705","5,995","3,412","1,149","6,563"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01217","江別市","","121,056","3,840","4,680","4,880","6,798","6,896","4,439","5,278","6,101","6,978","8,392","7,938","8,293","8,442","9,401","9,270","6,715","5,206","3,812","1,839","468","72","1,318","13,400","69,555","36,783","18,112","6,191","72,158"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01218","赤平市","","9,698","142","206","255","273","228","271","266","353","433","535","542","679","700","934","1,111","864","820","576","265","81","18","146","603","4,280","4,669","2,624","940","4,941"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01219","紋別市","","21,215","562","699","710","711","750","885","980","1,079","1,278","1,382","1,394","1,545","1,511","1,716","1,915","1,476","1,208","872","384","106","20","32","1,971","11,515","7,697","4,066","1,382","12,520"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01220","士別市","","17,858","439","557","656","614","415","512","609","821","981","1,200","1,158","1,193","1,300","1,555","1,677","1,369","1,268","863","444","144","30","53","1,652","8,803","7,350","4,118","1,481","9,744"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0122B","（旧：士別市）","","16,734","426","532","628","586","396","494","591","792","941","1,143","1,100","1,125","1,227","1,460","1,538","1,254","1,130","760","401","131","26","53","1,586","8,395","6,700","3,702","1,318","9,269"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01466","（旧：朝日町）","","1,124","13","25","28","28","19","18","18","29","40","57","58","68","73","95","139","115","138","103","43","13","4","-","66","408","650","416","163","475"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01221","名寄市","","27,282","953","1,020","1,045","1,250","1,423","1,224","1,383","1,554","1,683","1,788","1,646","1,669","1,612","1,863","2,130","1,631","1,466","1,002","487","146","22","285","3,018","15,232","8,747","4,754","1,657","15,845"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0122C","（旧：名寄市）","","23,788","869","926","920","1,148","1,363","1,153","1,286","1,398","1,497","1,613","1,442","1,408","1,327","1,547","1,796","1,358","1,180","761","388","106","20","282","2,715","13,635","7,156","3,813","1,275","14,034"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01467","（旧：風連町）","","3,494","84","94","125","102","60","71","97","156","186","175","204","261","285","316","334","273","286","241","99","40","2","3","303","1,597","1,591","941","382","1,811"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01222","三笠市","","8,040","214","200","241","321","178","212","327","314","372","475","427","458","482","741","825","711","650","533","269","81","9","-","655","3,566","3,819","2,253","892","3,986"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01223","根室市","","24,636","677","811","908","832","895","1,134","1,065","1,204","1,391","1,663","1,690","1,781","1,715","2,039","2,040","1,706","1,424","906","413","100","20","222","2,396","13,370","8,648","4,569","1,439","14,577"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01224","千歳市","","97,950","4,035","4,450","4,527","5,189","6,343","5,476","5,877","6,626","7,190","7,768","6,671","5,713","5,213","5,808","5,905","4,223","3,362","2,121","975","261","35","182","13,012","62,066","22,690","10,977","3,392","62,685"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01225","滝川市","","39,490","1,167","1,340","1,488","1,641","1,474","1,483","1,698","1,982","2,430","2,838","2,566","2,588","2,461","3,165","3,433","2,582","2,246","1,492","659","212","32","513","3,995","21,161","13,821","7,223","2,395","22,685"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01226","砂川市","","16,486","389","432","567","649","528","574","618","717","867","1,055","961","1,089","1,080","1,346","1,510","1,197","1,053","784","378","116","20","556","1,388","8,138","6,404","3,548","1,298","8,835"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01227","歌志内市","","2,989","39","37","66","78","59","70","58","110","148","156","150","193","230","352","352","309","231","213","95","31","9","3","142","1,252","1,592","888","348","1,526"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01228","深川市","","20,039","451","579","604","868","690","576","585","848","1,058","1,224","1,257","1,304","1,392","1,714","1,957","1,646","1,416","1,105","524","155","27","59","1,634","9,802","8,544","4,873","1,811","10,648"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01229","富良野市","","21,131","641","766","804","800","768","763","958","1,032","1,320","1,510","1,476","1,453","1,432","1,594","1,728","1,331","1,208","857","384","136","17","153","2,211","11,512","7,255","3,933","1,394","12,306"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01230","登別市","","46,391","1,378","1,544","1,853","1,974","1,608","1,665","1,878","2,243","2,836","3,441","2,855","2,827","2,843","3,838","4,436","3,533","2,721","1,710","772","229","48","159","4,775","24,170","17,287","9,013","2,759","26,034"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01231","恵庭市","","70,331","2,429","2,988","3,284","3,848","3,666","3,062","3,505","4,027","4,756","5,306","4,697","4,323","4,223","4,915","4,963","3,566","2,944","2,028","974","240","43","544","8,701","41,413","19,673","9,795","3,285","42,480"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01233","伊達市","","32,826","884","1,128","1,343","1,303","932","1,148","1,200","1,534","1,990","2,434","2,087","2,020","2,184","2,765","3,096","2,372","2,006","1,436","708","188","30","38","3,355","16,832","12,601","6,740","2,362","18,294"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0123B","（旧：伊達市）","","31,748","872","1,115","1,323","1,284","877","1,100","1,169","1,496","1,962","2,389","2,023","1,971","2,112","2,678","2,977","2,296","1,910","1,331","639","167","25","32","3,310","16,383","12,023","6,368","2,162","17,777"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01574","（旧：大滝村）","","1,078","12","13","20","19","55","48","31","38","28","45","64","49","72","87","119","76","96","105","69","21","5","6","45","449","578","372","200","517"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01234","北広島市","","58,171","1,650","2,166","2,579","3,206","2,314","1,804","2,161","2,825","3,630","4,528","3,950","3,783","3,939","4,762","5,242","3,683","2,689","1,714","939","300","51","256","6,395","32,140","19,380","9,376","3,004","33,696"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01235","石狩市","","56,869","1,826","2,342","2,653","2,768","2,062","1,791","2,283","3,013","3,991","4,381","3,584","3,317","3,455","4,865","5,579","3,537","2,473","1,693","935","273","47","1","6,821","30,645","19,402","8,958","2,948","32,742"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0123C","（旧：石狩市）","","54,147","1,769","2,289","2,601","2,714","2,001","1,723","2,196","2,914","3,888","4,242","3,402","3,141","3,252","4,567","5,254","3,258","2,252","1,526","858","256","43","1","6,659","29,473","18,014","8,193","2,683","31,326"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01305","（旧：厚田村）","","1,638","38","29","30","42","36","41","56","70","66","97","111","117","125","180","192","153","116","83","41","11","4","-","97","761","780","408","139","899"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01306","（旧：浜益村）","","1,084","19","24","22","12","25","27","31","29","37","42","71","59","78","118","133","126","105","84","36","6","-","-","65","411","608","357","126","517"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01236","北斗市","","44,302","1,437","1,784","2,223","2,144","1,623","1,653","1,882","2,367","2,986","3,625","3,241","3,017","2,896","3,386","3,382","2,404","1,893","1,399","651","191","26","92","5,444","25,434","13,332","6,564","2,267","26,676"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01335","（旧：上磯町）","","34,276","1,130","1,380","1,741","1,693","1,264","1,319","1,484","1,844","2,400","2,910","2,486","2,220","2,205","2,628","2,537","1,859","1,428","1,045","459","135","17","92","4,251","19,825","10,108","4,943","1,656","20,760"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01336","（旧：大野町）","","10,026","307","404","482","451","359","334","398","523","586","715","755","797","691","758","845","545","465","354","192","56","9","-","1,193","5,609","3,224","1,621","611","5,916"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01303","当別町","","15,916","286","364","528","860","1,018","549","544","571","692","1,017","1,109","1,335","1,288","1,339","1,380","1,056","835","562","281","93","7","202","1,178","8,983","5,553","2,834","943","9,462"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01304","新篠津村","","3,044","85","108","107","221","100","104","116","126","174","195","171","190","194","223","253","197","198","138","96","31","6","11","300","1,591","1,142","666","271","1,593"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01331","松前町","","6,260","112","118","147","117","104","166","178","193","280","355","389","379","450","654","808","646","542","366","186","54","10","6","377","2,611","3,266","1,804","616","3,148"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01332","福島町","","3,794","70","81","77","105","84","98","100","147","159","223","228","247","320","459","419","337","314","204","98","20","-","4","228","1,711","1,851","973","322","2,065"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01333","知内町","","4,167","83","120","154","188","130","181","178","194","211","239","252","278","309","406","389","296","256","188","83","28","3","1","357","2,160","1,649","854","302","2,378"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01334","木古内町","","3,832","50","84","98","87","79","114","111","127","167","222","215","271","285","415","424","387","301","235","110","30","6","14","232","1,678","1,908","1,069","381","2,006"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01337","七飯町","","27,686","899","1,116","1,200","1,122","815","906","1,160","1,440","1,721","2,117","1,780","1,801","1,881","2,378","2,435","1,732","1,409","1,059","537","147","22","9","3,215","14,743","9,719","4,906","1,765","15,999"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01343","鹿部町","","3,760","89","114","139","122","94","153","173","164","183","228","245","239","300","349","443","344","215","100","54","10","2","-","342","1,901","1,517","725","166","2,128"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01345","森町","","14,338","321","486","557","576","526","443","516","677","813","1,006","933","918","995","1,362","1,443","1,019","798","523","293","75","19","39","1,364","7,403","5,532","2,727","910","8,189"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01344","（旧：砂原町）","","3,404","57","109","140","168","176","127","104","155","177","267","217","200","225","340","337","215","170","119","72","25","2","2","306","1,816","1,280","603","218","1,988"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0134B","（旧：森町）","","10,934","264","377","417","408","350","316","412","522","636","739","716","718","770","1,022","1,106","804","628","404","221","50","17","37","1,058","5,587","4,252","2,124","692","6,201"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01346","八雲町","","15,826","465","534","592","455","476","640","716","812","1,033","1,111","1,029","1,104","1,128","1,376","1,400","935","757","591","320","137","18","197","1,591","8,504","5,534","2,758","1,066","9,425"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","0134C","（旧：八雲町）","","13,833","446","498","549","422","458","612","676","760","941","1,024","927","968","964","1,112","1,134","730","589","459","244","108","15","197","1,493","7,752","4,391","2,145","826","8,442"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01365","（旧：熊石町）","","1,993","19","36","43","33","18","28","40","52","92","87","102","136","164","264","266","205","168","132","76","29","3","-","98","752","1,143","613","240","983"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01347","長万部町","","5,109","114","145","156","125","167","201","193","234","263","326","276","345","377","477","418","334","361","304","153","35","6","99","415","2,507","2,088","1,193","498","2,859"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01361","江差町","","7,428","163","197","229","299","323","273","264","320","446","561","501","476","487","616","641","515","468","378","159","64","5","43","589","3,950","2,846","1,589","606","4,267"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01362","上ノ国町","","4,306","95","143","150","151","90","83","145","169","245","263","258","309","334","410","466","368","297","221","77","25","4","3","388","2,047","1,868","992","327","2,306"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01363","厚沢部町","","3,592","75","139","125","103","62","87","117","172","189","232","206","271","274","367","341","270","245","192","93","27","5","-","339","1,713","1,540","832","317","1,977"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01364","乙部町","","3,403","63","101","120","144","85","87","108","124","160","210","199","209","241","330","365","294","271","180","86","22","4","-","284","1,567","1,552","857","292","1,753"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01367","奥尻町","","2,410","52","58","53","94","84","113","129","104","120","116","144","150","196","220","234","178","165","115","66","17","2","-","163","1,250","997","543","200","1,376"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01370","今金町","","5,072","130","174","164","218","90","149","177","254","304","342","279","353","349","454","459","366","315","275","150","60","10","-","468","2,515","2,089","1,176","495","2,751"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01371","せたな町","","7,398","152","194","241","173","156","211","205","329","364","488","420","444","533","755","742","661","559","417","256","73","19","6","587","3,323","3,482","1,985","765","3,905"
"2020_01","人口【人】","2020000000","2020年","0","総数","0","国籍総数","01366","（旧：大成町）","","1,280","15","15","30","21","12","23","19","31","41","73","58","89","91","142","154","159","133","93","59","18","4","-","60","458","762","466","174","579"
